状元烤场(大学路总店),0371-86062929/400-003-1321,二七区大学路与中原路交叉口向南100米路东永辉超市2楼
观花记鲜花工作室,13903827750,金水区东风路3号附3号1219室
记忆花开?鲜花定制(熙地港店),18736061967/13323863960,金水区农业东路9号
花仙子?鲜花定制(绿地新都会店),15003852283,金水区金水东路80号新田360广场B117号
花镇?鲜花(新世界百货店),18595737674,管城回族区商城路268号紫荆山路商城路东100米
芳默鲜花,13273802552,惠济区英才街天地湾晴苑
匆匆那年花艺,15890173180,中原区郑州市中原区建设西路与秦岭路交叉口向西200米路南秦岭地铁口C出口向西30米
芳默鲜花(熙地港店),13273802552,金水区地润路3号
小庭芳华鲜花(南阳路店),17760722258/18937166893,金水区南阳路192号
见喜花店,18538007700,金水区东里路34号
隆庆鲜花婚庆,15938776673,金水区黄河路与东三街交叉口光大银行对面
天马座花艺(升龙店),400-865-8182,二七区嵩山路汝河路交叉口河南电力医院家属区-4号楼底商
爱尚花艺,13633714968,中牟县学苑路与兴安街口西路北50米伟业巴黎印象商铺1-111（新医院南门西邻）
唯美鲜花,15837122593/15803889575,二七区大学路与康复前街交叉口向北15米路东（长兴宾馆隔壁）
HM花迷?坊【鲜花速递】(国贸店),13333846208,金水区丰产路国贸360南门
海鸟花艺(正弘城店),13223082662/15290857796,金水区花园路与东风路交叉口西南角正弘城内
半夏花坊(金成时代广场店),0371-63333677/15303835890,金水区金成时代广场5号楼（仟福购物广场）
大溪地鲜花店,15038299309,管城回族区城东南路二里岗南街正商佳仕阁一楼2-111商铺
花畔花艺烘焙鲜花店,18569988869,管城回族区农业南路与康宁街向东150米路南（东瑞园北门西侧）
眼镜快车(二七万达店),0371-56006166/13733152106,二七区大学路航海路二七万达12A座1521室
花言草语鲜花店(新世界百货店),15824899519,管城回族区紫荆山路58号向北50米
爱丽丝花坊(CBD店),18736062610,金水区CBD商务内环5号
花开半夏鲜花店(CBD店),13526511662,金水区众意路商务内环路15号
美惠眼镜,18137103672,金水区未来路与商城路丹尼斯商场一层
香满怀鲜花(曼哈顿店),15903623539,金水区燕东路金水路288号
花期?鲜花速送,18203667781,二七区汉江路与人和路交叉口万千公寓603室
花西拾(遇见鲜花店),17796662600,管城回族区长江路与岗东路交叉口向东100米路南
花舍里鲜花(大上海店),17337157883,管城回族区银座时代广场一楼
柚子花店,16696070686/15239401156,金水区红旗路与东明路交叉口向东200米路南
花匠?鲜花高端定制(大卫城店),13298316683,管城回族区东太康人民路交叉口5号院605室
明视达眼镜(建设路店),13298338611,中原区建设西路6号附1号（泰隆大厦东北）
玫瑰传情鲜花速递(艾米婚庆礼仪鲜花店),13460318051,金水区南阳路273号（丰业广场 千盛广场 天旺广场）
沐木花艺鲜花,15238080504,金水区东风路3号财智名座605室
木子花开鲜花坊,13027725772,中原区冉屯东路与淇河路交叉口向东50米路南（世纪联华商业街）
芙蓉花坊工作室,13939021136/13939009171,管城回族区航海路正商新蓝钻A区13号楼
晟视眼镜(明鸿路店),0371-55851828,金水区东风路中州大道天裕小区南门向东10米
郑州玫瑰花艺(玫瑰花艺鲜花),13526498046/15837138454,管城回族区货站北街与郑汴路交叉口向西50米路北（康桥商务广场 ，东建材，大运发，东区。）
珍爱鲜花网(金水店),400-623-1316,金水区农业路与经五路向西100米路北(奥斯卡东侧)
花色花艺创意空间,13938269740,金水区国基路21世纪社区31号楼
慢时光花艺生活馆,13837153177,金水区花园路与渠东路交叉口向西620米（圣菲城二期南门口6-19）
蝴蝶花社花店(东站店),17729766687/13523457503,管城回族区东风南路与商鼎路交叉口升龙广场1号楼（郑州东站）
小公主花店(曼哈顿店),15638892998,金水区金水路曼哈顿广场18号楼1单元
先花店(航空港区分店),15346570098,新郑市鄱阳湖路与长安路交叉口北行100米路西（裕鸿世界港?丽宫小区沿街商铺）
花样年华(花为蝶店),400-897-8769,巩义市新华路22号
小清新花艺(中牟店),15002080165,中牟县城关镇官渡大街西段
左花(109店),15981980092,金水区农业路与经三路交叉口向西50米路南
繁华花艺,13613816224/13733846074,中原区农业路北5号门面房（农业路解先生家向东30米）
鲜花?花语轩(雨花香花艺),13903825105,金水区商都路与通泰路交叉口向北200米路西
小清新花艺(红专路店),15002080165,金水区红专路88号-100店铺（郑州济华骨科医院右侧50米左右）
那片花儿(天旺广场店),13937102312/17839931193,金水区东风路天旺优库2楼北侧
爱之裳鲜花(金水店),400-969-1299,金水区文化路北环路，花卉市场
薰衣草花约馆,13839798269,金水区龙子湖大学城姚桥乡小夏街夏庄西院西门
花总卉绿植店(CBD店),15890103428,金水区商务内环与众意路交叉口（丹尼斯七天地）
玫瑰之约鲜花(遇见?花饰界),15638902056,中牟县恒通风景苑北50米（青年路北）
花蔓花艺,13253322961,中原区陇海西路与前进路交叉口向北70米路西
IDO鲜花速递(蓝堡湾店),15981932906/15838141323,金水区农科路万达公馆11栋
简时光花坊,15538161961/15003819137,管城回族区城东南路与二里岗南街交叉口东南角正商佳仕阁1号楼228室
爱恋鲜花(花草阁鲜花店),15137177280,荥阳市万山路028号
红梅鲜花,18736065806,金水区东风路和文化路交叉口科技市场8号
雨果鲜花(CBD店),13838177601,金水区商务外环路8号世博大厦
花冠鲜花(金城时代广场店),0371-56608878/13323863960/18736062610,金水区未来路与纬二路交叉口西20米路北（CBD 曼哈顿 熙地港）
那片花儿(大学科技园店),13937102312/17839931193,中原区电厂西路华强城市广场北侧1号楼1101
裕花坊,13140186868,管城回族区郑东新区农业南路东商鼎路南5栋1-2层附8号右部分
尚爱花艺(正弘城店),15515691888,金水区郑州金水区科新路贵人街8-10号
真意坊鲜花,13703821701,二七区嵩山路汝河路交叉口西五十米路南
那片花儿(西元广场店),13937102312,中原区建设路西元国际广场西塔写字楼A座1121
相恋鲜花(二七万达店),13323863960,二七区航海路大学路二七万达内
花园铺子(熙地港店),15517517606,金水区农业东路15号（近熙地港，王府井）
玖月花坊(郑东新区店),13027520371/13460302221,金水区祥盛街（近郑州东站）
朵儿花艺,18838722028/18838198829,中原区电厂路与东风路交叉口东200米路南
珍爱鲜花(玉前路店),400-623-1316,新郑市近郊洧水路与玉前路交叉口路西
小清新花艺(陈寨花卉店),15002080165,金水区陈砦花卉市场鲜花区37号
小米鲜花派对策划,15737178536/13700886393,金水区怡丰新都汇
初见花颜鲜花速递(郑东新区店),13838189184/13460351686,金水区众意路与商务外环路交叉口向东100米（烟草大厦内1楼）
畅欣眼镜店(国际城店),13027523623,新郑市龙湖镇双湖大道国际城北门东20米
芊寻花艺(郑州大学店),13837103024/13939021231,二七区中原东路98号院5号楼5楼（会场联通大厦西50米）
兰花草鲜花婚庆礼仪公司,13849009876,荥阳市演武路与塔山路交叉口西30米路南
花镇?鲜花速递(二七万达店),18595737674,二七区大学路长江路二七万达A座
开心花坊Happy Flower(郑东新区店),13837136492,管城回族区农业南路与商鼎路交口路劲东方陆港内
有家花店,15003881011,中原区中原路171号B座1707
六月花店,15517500986/17752500813,金水区花园路与农业路交口国贸360写字楼A座2105
凡间鲜花花艺,13140008648,中原区棉纺西路方圆经纬小区
爱之裳鲜花(上街店),400-969-1299,上街区汝南路(奥斯卡)东50米路北
芊寻花艺(电厂路店),13939021231/17839993451,中原区电厂路冉屯路向北100米路东
芊寻花艺,13837103024/13939021231,中原区冉屯东路世纪联华超市2楼
芊寻花艺(绿都城店),13837103024/13939021231,高新区中原西路杏湾路绿都70号楼底商
怡丰鲜花(黄河路店),13683711068/18539285785,金水区黄河路瀚海璞丽中心2001
左花(94店),13083605339,金水区金水路玉凤路交叉口西南角50米（名门世家7-10商铺）
紫荆花坊(二七广场店),0371-55001796/18695889200,二七区二七广场向西300米路北
妞妞花店(医学院店),18595807288,二七区建设路与大学路交叉口向西100米
Flower town花镇(曼哈顿店),18595737674,金水区未来路金水路燕凤小区一楼
IDO鲜花(大学科技园店),15981932906,中原区电厂路90号托斯卡纳
花冠鲜花(花屿花艺馆),15517159728,金水区经一路北3号
花冠鲜花(郑州佳音花坊),13253679561/13255922786,中原区华山路与汝河路交叉口向西300米路南
芊寻花艺(科技市场店),13837103024/17839993451,金水区文化路103号凯隆广场4楼南
天马座花艺(千盛生活广场店),400-865-8182,金水区农业路天明路西南角
青岩花坊,15037102346,高新区紫藤路与金梭路交叉口向东50米路南（翰林国际）
艾尚鲜花,17638182089,荥阳市郑上路与万山路交叉口向南20米路东
花匠?鲜花高端定制(国贸360店),13298316683,金水区花园路丰产路交叉口东北角
花园铺子(富田太阳城店),15517517606,管城回族区中州大道与航海路交叉口向北30米路西
惜缘花艺(cbd店),15738812370,金水区商务内环路与九如路交叉口海逸名门22号楼7120室
玫瑰传情鲜花速递(花非花鲜花店),0371-56689528/13271570703,二七区陈寨花卉大学路店三楼3105室
爱尚花艺(中原万达店),0371-66598986/66598986,中原区陇海路华山路交叉口龙源世纪花园7号楼102室
紫荆花坊(富田太阳城店),18695889200,管城回族区航海路中州大道富田太阳城向东300米路南
芊寻花艺(中原万达店),13837103024/17839993451,中原区伏牛路139号院8号楼3单元附21号
一品鲜花连锁店(民航路店),0371-65335875/15803820572,金水区民航路22号
沐兮花房(国贸店),13526511662,金水区花园路与丰产路交叉口国贸新领地3号楼2单元（国贸360旁）
萌豆鲜花花艺馆(宝龙城市广场店),13849119171,金水区农业东路33号宝龙城市广场B区2层
花舍鲜花,15938677537/18638696657,高新区科学大道与红叶路交叉口万科城小世界C座901
茉莉鲜花,13838026978,金水区郑汴路与玉凤路交叉口南行200米陈寨花卉四楼
天马座花艺(新通桥店),4008658182,金水区金水路97号
花朵朵鲜花婚庆店,18838134926,中原区中原中路35号
百视通眼镜超市,0371-55038583,二七区德化街亚细亚商场二楼
遇见?花季,13603826023,金水区丰产路53号（姿华公司一层门面房）
大宝鲜花(奥兰花园店),13937170897,管城回族区康宁街与康平路交叉口南行50米路东奥兰花园七号楼五楼501
永亭鲜花(国贸360店),13526499831,金水区花园路农业路交叉口国贸360对面兰德中心
记忆花开(金城时代广场店),18736061967/13323863960,金水区姚砦路金城时代广场5号楼
吾爱鲜花(小花草花店),400-857-7720,新郑市新华路57号
那片花儿(锦艺城店),13937102312/17839931193,中原区棉纺西路锦艺购物中心C区（秦岭路）
恋人鲜花(恋人鲜花1425店),0371-56608878/13323863960,金水区管陇海路未来路升龙凤凰城C区6号楼1018室
百视通眼镜超市(二七万达广场店),0371-55038363,二七区大学南路与航海中路交叉口二七万达广场金街3号门
花园铺子(大卫城店),15517517606,金水区二七路与太康路交叉口向东30米
花总卉绿植店(西园国际广场店),15890103428,中原区建设西路西园国际广场
尤妮卡花艺,15729394829,金水区花园路与红旗路交叉口向东50米路南
温馨花艺(曼哈顿店),15824878428/18768870994,金水区金水路288号
静花缘鲜花店(熙地港店),18768889755,金水区农业东路与众意西路交叉口东南角绿城百合1号楼
初见花舍鲜花速递(雅美店),15538196681/13203825127,管城回族区未来路雅美新居1号楼19号
栀茵花房(大卫城店),18239999779,管城回族区二七路与东太康路交叉口向东50米
迦南美地花艺(二七广场店),17739793040/18530859598,二七区西大街198号（二七广场向东800米）
记忆花开(富田太阳城店),18736061967/13323863960,管城回族区明月路51号
施洛华眼镜(升龙汇金店),13838035510,惠济区南阳路与宋寨南街交叉口西北角升龙汇金眼镜城一楼2-154号（近升龙汇金3号出入口）
花遇?时光鲜花馆,18137796252/15803816377,中原区桐柏路洛河路科技大厦
天马座花艺(福都生活广场店),400-865-8182,管城回族区航海东路银莺路交叉口
